link,title,headline
https://sport.tempo.co/read/1773001/usai-juara-di-hong-kong-open-2023-apriyani-fadia-mau-langsung-fokus-persiapan-asian-games-2023,"Usai Juara di Hong Kong Open 2023, Apriyani / Fadia Mau Langsung Fokus Persiapan Asian Games 2023","Apriyani / Fadia meraih gelar juara Hong Kong Open 2023 setelah meraih medali perak di Kejuaraan Dunia 2023 pada Agustus lalu."
https://nasional.tempo.co/read/1772998/demokrat-dikabarkan-akan-merapat-ke-koalisi-prabowo-andi-arief-ungkap-tawaran-yang-diajukan,"Demokrat Dikabarkan Akan Merapat ke Koalisi Prabowo, Andi Arief Ungkap Tawaran yang Diajukan","Ketua Bappilu Demokrat Beri Sinyal Partainya Bakal Bergabung ke Koalisi yang Capres-nya Penyayang Hewan"
https://bisnis.tempo.co/read/1772997/mendag-klaim-harga-beras-mulai-turun-rp100-rp500-per-kilogram,"Mendag Klaim Harga Beras Mulai Turun Rp100 - Rp500 per Kilogram","Mendag Zulhas mengatakan berbagai upaya untuk menekan harga beras di pasaran masih terus dilakukan pemerintah."
https://sport.tempo.co/read/1772995/6-fakta-menarik-soal-apriyani-fadia-yang-baru-menjuarai-hong-kong-open-2023,"6 Fakta Menarik Soal Apriyani / Fadia yang Baru Menjuarai Hong Kong Open 2023","Apriyani Rahayu / Siti Fadia Silva Ramadhanti (Apriyani / Fadia) berhasil menjuarai Hong Kong Open 2023. Simak 6 fakta menarik tentang mereka."
https://dunia.tempo.co/read/1772986/turki-masuk-daftar-tunggu-uni-eropa-24-tahun-erdogan-mungkin-saatnya-kita-berpisah,"Turki Masuk Daftar Tunggu Uni Eropa 24 Tahun, Erdogan: Mungkin Saatnya Kita Berpisah","Presiden Turki Tayyip Erdogan mengatakan bahwa Ankara dapat ""berpisah"" dengan Uni Eropa jika diperlukan"
https://sport.tempo.co/read/1772993/hasil-hong-kong-open-2023-akane-yamaguchi-sabet-gelar-juara-kalahkan-pemain-cina,"Hasil Hong Kong Open 2023: Akane Yamaguchi Sabet Gelar Juara, Kalahkan Pemain Cin","Akane Yamaguchi meraih gelar juara kelima tahun ini di Hong Kong Open 2023, setelah gagal menjuarai China Open 2023 pada pekan lalu."
https://nasional.tempo.co/read/1772992/demokrat-dikabarkan-bakal-merapat-ke-prabowo-ini-kata-herzaky,"Demokrat Dikabarkan Bakal Merapat ke Prabowo, Ini Kata Herzaky","Juru Bicara Partai Demokrat Herzaky Mahendra Putra menanggapi kabar merapatnya Partai Demokrat ke koalisi pendukung Prabowo Subianto"
https://newsletter.tempo.co/read/1772936/konflik-di-pulau-rempang-antara-investasi-kepentingan-pengusaha-dan-intrik-politik-lokal,"Konflik di Pulau Rempang, antara Investasi, Kepentingan Pengusaha dan Intrik Politik Lokal","Ada intrik politik lokal di Batam, ada kepentingan pengusaha, juga nafsu pemerintah mendatangkan investasi di .Pulau Rempang."
https://metro.tempo.co/read/1772991/transjakarta-hadirkan-rute-baru-kramat-jati-bambu-apus,"Transjakarta Hadirkan Rute Baru Kramat Jati-Bambu Apus","Manajemen Transjakarta menambah rute baru, yakni Mikrotrans JAK108 dengan rute Kramat Jati sampai Bambu Apus"
https://metro.tempo.co/read/1772990/akibat-kebakaran-museum-nasional-ditutup-sementara-sampai-waktu-yang-belum-ditentukan,"Akibat Kebakaran, Museum Nasional Ditutup Sementara Sampai Waktu yang Belum Ditentukan","Enam ruangan dari total 21 ruangan di Gedung A Museum Nasional terbakar."
https://gaya.tempo.co/read/1772989/percepat-pertumbuhan-rambut-dengan-pijat-kulit-kepala,"Percepat Pertumbuhan Rambut dengan Pijat Kulit Kepal","Para pakar menyebut salah satu cara untuk meningkatkan pertumbuhan rambut yang cepat adalah dengan pijat kulit kepala. Simak tipsnya."
https://metro.tempo.co/read/1772988/pria-paruh-baya-cabuli-bocah-13-tahun-di-indekos-tambora-ditangkap,"Pria Paruh Baya Cabuli Bocah 13 Tahun di Indekos Tambora Ditangkap","Polisi menangkap pria paruh baya yang mencabuli bocah 13 tahun lebih dari sekali di kawasan Tambora, Jakarta Barat."
https://tekno.tempo.co/read/1772969/oneplus-akan-rilis-lagi-perangkat-tablet-di-india-ini-bocorannya,"OnePlus akan Rilis Lagi Perangkat Tablet di India, Ini Bocoranny","Perangkat teblet itu disebut-sebut akan dinamakan OnePlus Pad Go."
